Country,Happiness Rank,year
Switzerland,1,2015
Iceland,2,2015
Denmark,3,2015
Norway,4,2015
Canada,5,2015
Finland,6,2015
Netherlands,7,2015
Sweden,8,2015
New Zealand,9,2015
Australia,10,2015
Israel,11,2015
Costa Rica,12,2015
Austria,13,2015
Mexico,14,2015
United States,15,2015
Brazil,16,2015
Luxembourg,17,2015
Ireland,18,2015
Belgium,19,2015
United Arab Emirates,20,2015
United Kingdom,21,2015
Oman,22,2015
Venezuela,23,2015
Singapore,24,2015
Panama,25,2015
Germany,26,2015
Chile,27,2015
Qatar,28,2015
France,29,2015
Argentina,30,2015
Czech Republic,31,2015
Uruguay,32,2015
Colombia,33,2015
Thailand,34,2015
Saudi Arabia,35,2015
Spain,36,2015
Malta,37,2015
Taiwan,38,2015
Kuwait,39,2015
Suriname,40,2015
Trinidad and Tobago,41,2015
El Salvador,42,2015
Guatemala,43,2015
Uzbekistan,44,2015
Slovakia,45,2015
Japan,46,2015
South Korea,47,2015
Ecuador,48,2015
Bahrain,49,2015
Italy,50,2015
Bolivia,51,2015
Moldova,52,2015
Paraguay,53,2015
Kazakhstan,54,2015
Slovenia,55,2015
Lithuania,56,2015
Nicaragua,57,2015
Peru,58,2015
Belarus,59,2015
Poland,60,2015
Malaysia,61,2015
Croatia,62,2015
Libya,63,2015
Russia,64,2015
Jamaica,65,2015
North Cyprus,66,2015
Cyprus,67,2015
Algeria,68,2015
Kosovo,69,2015
Turkmenistan,70,2015
Mauritius,71,2015
Hong Kong,72,2015
Estonia,73,2015
Indonesia,74,2015
Vietnam,75,2015
Turkey,76,2015
Kyrgyzstan,77,2015
Nigeria,78,2015
Bhutan,79,2015
Azerbaijan,80,2015
Pakistan,81,2015
Jordan,82,2015
Montenegro,82,2015
China,84,2015
Zambia,85,2015
Romania,86,2015
Serbia,87,2015
Portugal,88,2015
Latvia,89,2015
Philippines,90,2015
Somaliland region,91,2015
Morocco,92,2015
Macedonia,93,2015
Mozambique,94,2015
Albania,95,2015
Bosnia and Herzegovina,96,2015
Lesotho,97,2015
Dominican Republic,98,2015
Laos,99,2015
Mongolia,100,2015
Swaziland,101,2015
Greece,102,2015
Lebanon,103,2015
Hungary,104,2015
Honduras,105,2015
Tajikistan,106,2015
Tunisia,107,2015
Palestinian Territories,108,2015
