Country,Happiness Score 2015,Happiness Rank 2015,Happiness Score 2016,Happiness Rank 2016,Happiness Score 2017,Happiness Rank 2017,Happiness Score 2018,Happiness Rank 2018,Happiness Score 2019,Happiness Rank 2019
Switzerland,7.587,1,7.509,2,7.493999958,4,7.487,5,7.48,6
Iceland,7.561,2,7.501,3,7.504000187,3,7.495,4,7.494,4
Denmark,7.527,3,7.526,1,7.521999836,2,7.555,3,7.6,2
Norway,7.522,4,7.498,4,7.537000179,1,7.594,2,7.554,3
Canada,7.427,5,7.404,6,7.315999985,7,7.328,7,7.278,9
Finland,7.406,6,7.413,5,7.468999863,5,7.632,1,7.769,1
Netherlands,7.378,7,7.339,7,7.376999855,6,7.441,6,7.488,5
Sweden,7.364,8,7.291,10,7.28399992,9,7.314,9,7.343,7
New Zealand,7.286,9,7.334,8,7.31400013,8,7.324,8,7.307,8
Australia,7.284,10,7.313,9,7.28399992,10,7.272,10,7.228,11
Israel,7.278,11,7.267,11,7.212999821,11,6.814,19,7.139,13
Costa Rica,7.226,12,7.087,14,7.078999996,12,7.072,13,7.167,12
Austria,7.2,13,7.119,12,7.006000042,13,7.139,12,7.246,10
Mexico,7.187,14,6.778,21,6.578000069,25,6.488,24,6.595,23
United States,7.119,15,7.104,13,6.993000031,14,6.886,18,6.892,19
Brazil,6.983,16,6.952,17,6.635000229,22,6.419,28,6.3,32
Luxembourg,6.946,17,6.871,20,6.862999916,18,6.91,17,7.09,14
Ireland,6.94,18,6.907,19,6.977000237,15,6.977,14,7.021,16
Belgium,6.937,19,6.929,18,6.890999794,17,6.927,16,6.923,18
United Arab Emirates,6.901,20,6.573,28,6.647999763,21,6.774,20,6.825,21
United Kingdom,6.867,21,6.725,23,6.714000225,19,7.19,11,7.054,15
Oman,6.853,22,,,,,,,,
Venezuela,6.81,23,6.084,44,5.25,82,4.806,102,4.707,108
Singapore,6.798,24,6.739,22,6.572000027,26,6.343,34,6.262,34
Panama,6.786,25,6.701,25,6.452000141,30,6.43,27,6.321,31
Germany,6.75,26,6.994,16,6.951000214,16,6.965,15,6.985,17
Chile,6.67,27,6.705,24,6.65199995,20,6.476,25,6.444,26
Qatar,6.611,28,6.375,36,6.375,35,6.374,32,6.374,29
France,6.575,29,6.478,32,6.441999912,31,6.489,23,6.592,24
Argentina,6.574,30,6.65,26,6.598999977,24,6.388,29,6.086,47
Czech Republic,6.505,31,6.596,27,6.609000206,23,6.711,21,6.852,20
Uruguay,6.485,32,6.545,29,6.453999996,28,6.379,31,6.293,33
Colombia,6.477,33,6.481,31,6.356999874,36,6.26,37,6.125,43
Thailand,6.455,34,6.474,33,6.423999786,32,6.072,46,6.008,52
Saudi Arabia,6.411,35,6.379,34,6.343999863,37,6.371,33,6.375,28
Spain,6.329,36,6.361,37,6.402999878,34,6.31,36,6.354,30
Malta,6.302,37,6.488,30,6.52699995,27,6.627,22,6.726,22
Taiwan,6.298,38,6.379,34,,,6.441,26,6.446,25
Kuwait,6.295,39,6.239,41,6.105000019,39,6.083,45,6.021,51
Suriname,6.269,40,6.269,40,,,,,,
Trinidad and Tobago,6.168,41,6.168,43,6.168000221,38,,,,
