countryname,indicatorname,year_2017,target_groups
Afghanistan,"Birth rate, crude (per 1,000 people)",33.2110000000,Very Sad
Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),43.9889984100,Very Sad
Afghanistan,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",66.2180023200,Very Sad
Afghanistan,"Employment in industry, female (% of female employment) (modeled ILO estimate)",24.2789993300,Very Sad
Afghanistan,"Employment in services, female (% of female employment) (modeled ILO estimate)",9.5039997100,Very Sad
Afghanistan,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",66.9509964000,Very Sad
Afghanistan,Fixed telephone subscriptions (per 100 people),0.3272223670,Very Sad
Afghanistan,GDP per capita (current US$),556.3020024000,Very Sad
Afghanistan,GDP per capita growth (annual %),0.0820789290,Very Sad
Afghanistan,"Incidence of tuberculosis (per 100,000 people)",189.0000000000,Very Sad
Afghanistan,Individuals using the Internet (% of population),13.5000000000,Very Sad
Afghanistan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",48.6660003700,Very Sad
Afghanistan,"Life expectancy at birth, female (years)",65.6560000000,Very Sad
Afghanistan,"Life expectancy at birth, male (years)",62.7010000000,Very Sad
Afghanistan,"Life expectancy at birth, total (years)",64.1300000000,Very Sad
Afghanistan,Lifetime risk of maternal death (%),3.0635932520,Very Sad
Afghanistan,Mobile cellular subscriptions (per 100 people),65.9291340600,Very Sad
Afghanistan,"Mortality rate, infant (per 1,000 live births)",49.5000000000,Very Sad
Afghanistan,Net migration,-314602.0000000000,Very Sad
Afghanistan,Rural population (% of total population),74.7500000000,Very Sad
Afghanistan,Secure Internet servers (per 1 million people),43.4478350500,Very Sad
Afghanistan,"Survival to age 65, female (% of cohort)",67.5743760000,Very Sad
Afghanistan,"Survival to age 65, male (% of cohort)",60.9503030000,Very Sad
Afghanistan,"Tuberculosis case detection rate (%, all forms)",68.0000000000,Very Sad
Afghanistan,Urban population (% of total population),25.2500000000,Very Sad
Albania,"Birth rate, crude (per 1,000 people)",11.9340000000,Moderately Sad
Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),38.2039985700,Moderately Sad
Albania,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",42.5419998200,Moderately Sad
Albania,"Employment in industry, female (% of female employment) (modeled ILO estimate)",15.1319999700,Moderately Sad
Albania,"Employment in services, female (% of female employment) (modeled ILO estimate)",42.3250007600,Moderately Sad
Albania,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",55.3790016200,Moderately Sad
Albania,Fixed telephone subscriptions (per 100 people),8.5542837470,Moderately Sad
Albania,GDP per capita (current US$),4531.0208060000,Moderately Sad
