countryname,countrycode,indicatorname,indicatorcode,year,value,happiness_rank_2015,target_groups
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,4.6043340090,153,Very Sad
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,0.2430805625,153,Very Sad
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,2014,6.3900000000,153,Very Sad
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,74.8828424133,153,Very Sad
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,68.1000000000,153,Very Sad
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,93.9000000000,153,Very Sad
Afghanistan,AFG,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,14.0000000000,153,Very Sad
Afghanistan,AFG,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,8.1999998093,153,Very Sad
Afghanistan,AFG,Urban population,SP.URB.TOTL,2014,8312341.0000000000,153,Very Sad
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,26.2820000000,153,Very Sad
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,2014,4.6096300674,153,Very Sad
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,8.0700000000,153,Very Sad
Afghanistan,AFG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,189.0000000000,153,Very Sad
Afghanistan,AFG,Fixed telephone subscriptions,IT.MLT.MAIN,2014,101931.0000000000,153,Very Sad
Afghanistan,AFG,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,52.6943193055,153,Very Sad
Afghanistan,AFG,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,44.8709961513,153,Very Sad
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2014,3.0334725525,153,Very Sad
Afghanistan,AFG,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,2.4346845433,153,Very Sad
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,1.3125309078,153,Very Sad
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,0.2433151102,153,Very Sad
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,0.3258609720,153,Very Sad
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,73.7180000000,153,Very Sad
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,2.1531913181,153,Very Sad
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,16.0514394962,153,Very Sad
Afghanistan,AFG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,425.0000000000,153,Very Sad
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,43.5910000000,95,Apathetic
Albania,ALB,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,69.0073212360,95,Apathetic
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,8.6998678931,95,Apathetic
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.1700000000,95,Apathetic
Albania,ALB,Population growth (annual %),SP.POP.GROW,2014,-0.0998300969,95,Apathetic
Albania,ALB,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,12.0622519618,95,Apathetic
Albania,ALB,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,18.9304268022,95,Apathetic
Albania,ALB,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,16.8999996185,95,Apathetic
Albania,ALB,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,14.8000001907,95,Apathetic
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,2.5700000000,95,Apathetic
Albania,ALB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,7.7562940818,95,Apathetic
Albania,ALB,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,19.0000000000,95,Apathetic
Albania,ALB,Urban population,SP.URB.TOTL,2014,1632744.0000000000,95,Apathetic
Albania,ALB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,14.4000000000,95,Apathetic
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,12.9000000000,95,Apathetic
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,105.4699657470,95,Apathetic
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,0.9912639328,95,Apathetic
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,1.6340333800,95,Apathetic
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,2014,1.7357617125,95,Apathetic
Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,56.4090000000,95,Apathetic
Albania,ALB,Fixed telephone subscriptions,IT.MLT.MAIN,2014,247070.0000000000,95,Apathetic
Albania,ALB,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.0528783697,95,Apathetic
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,2014,60.1000000000,95,Apathetic
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,41.2664750109,95,Apathetic
Albania,ALB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,29.0000000000,95,Apathetic
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,2014,18.0900000000,68,Apathetic
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,-0.4120846559,68,Apathetic
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,2.9164064127,68,Apathetic
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,7.2900000000,68,Apathetic
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,29.8710000000,68,Apathetic
Algeria,DZA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.4306741018,68,Apathetic
Algeria,DZA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,17.3761564927,68,Apathetic
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,22.0000000000,68,Apathetic
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,93.3107502184,68,Apathetic
Algeria,DZA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,141.0000000000,68,Apathetic
Algeria,DZA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,78.0000000000,68,Apathetic
Algeria,DZA,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,25.6000000000,68,Apathetic
Algeria,DZA,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,8.0000000000,68,Apathetic
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2014,2.8269781133,68,Apathetic
Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,70.1290000000,68,Apathetic
