country,happiness_score_2015,happiness_rank_2015,happiness_score_2016,happiness_rank_2016,happiness_score_2017,happiness_rank_2017,happiness_score_2018,happiness_rank_2018,happiness_score_2019,happiness_rank_2019
Switzerland,7.587,1,7.509,2,7.494,4,7.487,5,7.480,6
Iceland,7.561,2,7.501,3,7.504,3,7.495,4,7.494,4
Denmark,7.527,3,7.526,1,7.522,2,7.555,3,7.600,2
Norway,7.522,4,7.498,4,7.537,1,7.594,2,7.554,3
Canada,7.427,5,7.404,6,7.316,7,7.328,7,7.278,9
Finland,7.406,6,7.413,5,7.469,5,7.632,1,7.769,1
Netherlands,7.378,7,7.339,7,7.377,6,7.441,6,7.488,5
Sweden,7.364,8,7.291,10,7.284,9,7.314,9,7.343,7
New Zealand,7.286,9,7.334,8,7.314,8,7.324,8,7.307,8
Australia,7.284,10,7.313,9,7.284,10,7.272,10,7.228,11
Israel,7.278,11,7.267,11,7.213,11,6.814,19,7.139,13
Costa Rica,7.226,12,7.087,14,7.079,12,7.072,13,7.167,12
Austria,7.200,13,7.119,12,7.006,13,7.139,12,7.246,10
Mexico,7.187,14,6.778,21,6.578,25,6.488,24,6.595,23
United States,7.119,15,7.104,13,6.993,14,6.886,18,6.892,19
Brazil,6.983,16,6.952,17,6.635,22,6.419,28,6.300,32
Luxembourg,6.946,17,6.871,20,6.863,18,6.910,17,7.090,14
Ireland,6.940,18,6.907,19,6.977,15,6.977,14,7.021,16
Belgium,6.937,19,6.929,18,6.891,17,6.927,16,6.923,18
United Arab Emirates,6.901,20,6.573,28,6.648,21,6.774,20,6.825,21
United Kingdom,6.867,21,6.725,23,6.714,19,7.190,11,7.054,15
Oman,6.853,22,,,,,,,,
Venezuela,6.810,23,6.084,44,5.250,82,4.806,102,4.707,108
Singapore,6.798,24,6.739,22,6.572,26,6.343,34,6.262,34
Panama,6.786,25,6.701,25,6.452,30,6.430,27,6.321,31
Germany,6.750,26,6.994,16,6.951,16,6.965,15,6.985,17
Chile,6.670,27,6.705,24,6.652,20,6.476,25,6.444,26
Qatar,6.611,28,6.375,36,6.375,35,6.374,32,6.374,29
France,6.575,29,6.478,32,6.442,31,6.489,23,6.592,24
Argentina,6.574,30,6.650,26,6.599,24,6.388,29,6.086,47
Czech Republic,6.505,31,6.596,27,6.609,23,6.711,21,6.852,20
Uruguay,6.485,32,6.545,29,6.454,28,6.379,31,6.293,33
Colombia,6.477,33,6.481,31,6.357,36,6.260,37,6.125,43
Thailand,6.455,34,6.474,33,6.424,32,6.072,46,6.008,52
Saudi Arabia,6.411,35,6.379,34,6.344,37,6.371,33,6.375,28
Spain,6.329,36,6.361,37,6.403,34,6.310,36,6.354,30
Malta,6.302,37,6.488,30,6.527,27,6.627,22,6.726,22
Taiwan,6.298,38,6.379,34,,,6.441,26,6.446,25
Kuwait,6.295,39,6.239,41,6.105,39,6.083,45,6.021,51
Suriname,6.269,40,6.269,40,,,,,,
Trinidad and Tobago,6.168,41,6.168,43,6.168,38,,,,
El Salvador,6.130,42,6.068,46,6.003,45,6.167,40,6.253,35
Guatemala,6.123,43,6.324,39,6.454,29,6.382,30,6.436,27
Uzbekistan,6.003,44,5.987,49,5.971,47,6.096,44,6.174,41
Slovakia,5.995,45,6.078,45,6.098,40,6.173,39,6.198,38
Japan,5.987,46,5.921,53,5.920,51,5.915,54,5.886,58
South Korea,5.984,47,5.835,57,5.838,55,5.875,57,5.895,54
Ecuador,5.975,48,5.976,51,6.008,44,5.973,48,6.028,50
Bahrain,5.960,49,6.218,42,6.087,41,6.105,43,6.199,37
Italy,5.948,50,5.977,50,5.964,48,6.000,47,6.223,36
Bolivia,5.890,51,5.822,59,5.823,58,5.752,62,5.779,61
